img_name,label,width,height,Edges,Red-Min,Red-Max,Green-Min,Green-Max,Blue-Min,Blue-Max,true_false
LGP2.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP3.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP4.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP5.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP6.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP7.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP8.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP9.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP10.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP11.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP12.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP13.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP14.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP15.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP16.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP17.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP18.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP19.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP20.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP21.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
LGP22.jpg,large_game_piece,640,480,7,150,255,120,220,70,160,1
SGP1.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP2.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP3.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP4.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP5.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP6.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP7.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP8.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP9.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP10.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP11.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP12.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP13.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP14.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP15.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP16.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
SGP17.jpg,small_game_piece,640,480,7,100,255,50,230,120,255,1
B1.jpg,booster,640,480,16,210,255,150,180,0,40,1
B2.jpg,booster,640,480,16,210,255,150,180,0,40,1
B3.jpg,booster,640,480,16,210,255,150,180,0,40,1
B4.jpg,booster,640,480,16,210,255,150,180,0,40,1
B5.jpg,booster,640,480,16,210,255,150,180,0,40,1
B6.jpg,booster,640,480,16,210,255,150,180,0,40,1
B7.jpg,booster,640,480,16,210,255,150,180,0,40,1
B8.jpg,booster,640,480,16,210,255,150,180,0,40,1
B9.jpg,booster,640,480,16,210,255,150,180,0,40,1
B10.jpg,booster,640,480,16,210,255,150,180,0,40,1
B11.jpg,booster,640,480,16,210,255,150,180,0,40,1
B12.jpg,booster,640,480,16,210,255,150,180,0,40,1
B13.jpg,booster,640,480,16,210,255,150,180,0,40,1
B14.jpg,booster,640,480,16,210,255,150,180,0,40,1
B15.jpg,booster,640,480,16,210,255,150,180,0,40,1
B16.jpg,booster,640,480,16,210,255,150,180,0,40,1
B17.jpg,booster,640,480,16,210,255,150,180,0,40,1
B18.jpg,booster,640,480,16,210,255,150,180,0,40,1
B19.jpg,booster,640,480,16,210,255,150,180,0,40,1
FT1.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT2.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
FT3.jpg,fuel_thruster,640,480,5,100,250,40,170,5,200,1
